repo	score	disk_kb	lang	stars	description
zabbix-tools/zabbix-module-python	8	48	C	34	Embedded Python interpreter module for Zabbix
howerj/pickle	8	594	C	34	Improvements to picol: A TCL like interpreter suitable as an shell in an embedded system
KarlAndr1/beryl	8	263	C	33	The Beryl Scripting Language
jhallen/ivy-lang	8	150	C	32	Ivy programming language
morrow1nd/luax	8	248	C	32	Lua-like programming language for studying compiler&interpreter courses.
pmachapman/LittleC	8	96	C	32	A modified version of the LittleC Interpreter from Herbert Schildt's C: The Complete Reference (4th Ed.)
Usbac/borealis	8	266	C	32	The elegant and consistent programming language.
irori/lazyk	8	12	C	31	Lazy K interpreter
Jaffe-/lispc	8	49	C	31	A simple Lisp interpreter in C
dbetz/advsys	8	44	C	30	AdvSys - A Language for Writing Text Adventure Games
michiakig/lisp-in-c	8	684	C	30	Lisp interpreter in C and compiler to C
NicksterSand/Cflat	8	94	C	30	An interpreter for C flat, a music-based programming language
arkanis/lisp.c	8	113	C	29	My second Lisp interpreter (bytecode compiler and interpreter) written in GNU C
mikelma/oktac	8	448	Rust	28	okta programming language compiler. THIS IS A MIRROR OF THE ORIGINAL REPO HOSTED IN SOURCEHUT.
odddollar/Leafscript	8	787	Go	28	Lightweight programming language (proof of concept)
erdian718/lua	8	139	Go	27	Go Lua Compiler and VM
droyo/APL	8	204	C	26	UTF8 APL interpreter
erhanbaris/EasyLang	8	853	C++	26	Easy Programming Language / VM
txus/calc	8	144	C	26	Simple arithmetic language interpreter with JIT compilation, using LLVM.
ignorabimus/minischeme	8	638	C	25	Mini-Scheme Interpreter with Copying GC
mkostrun/UBASIC-PLUS	8	283	C	25	uBasic Plus for microcontrollers adds features to uBasic such as arrays and floating point numbers, more functions and a
Symbitic/CTRJS	8	348	C	24	JavaScript interpreter for the Nintendo 3DS.
wernsey/musl	8	79	C	24	A small, embeddable BASIC interpreter in C.
JackMc/BasicLisp	8	61	C	23	A basic (basic) Lisp interpreter in C!
MalcolmMcLean/minibasic	8	72	C	23	Small Basic interpreter, written in C. 
TinHead/Valkyrie-CNC-source-code	8	444	C	23	Reprap based g-code interpreter adapted for my own toy
Chip-84/chip-84	8	745	C	22	A CHIP-8/S-CHIP Interpreter for the TI-84 Plus CE
cookerlyk/Chip8	8	70	C	22	Chip-8 Interpreter written in C
knordman/esstee	8	750	C	22	Structured Text (ST) Interpreter
Ralnoc/pam-python	8	90	C	22	pam_python is a PAM module that runs the Python interpreter, and so allows PAM modules to be written in Python.
tcort/tcbasic	8	292	C	22	tcbasic is a small BASIC Interpreter written in C.
belijzajac/WisniaLang	8	860	C++	21	A compiler for an experimental programming language that produces tiny Linux binaries (ELF x86_64) without LLVM dependen
kungfooman/EiC-C-Interpreter	8	700	C	21	EiC C Interpreter
marianoguerra/pynerl	8	105	C	21	run an embeded python interpreter in erlang
Suloch/chirp	8	162	C	21	Interpreter in C for rockstar programing language
tinku99/ahkx	8	552	C	21	autohotkey interpreter compiled with gcc
0xM4LL0C/yuji	8	240	C	20	tiny scripting language in C
fjames86/flisp	8	732	C	20	A Scheme-like Lisp interpreter that can also run as an operating system
kgabis/business-card-brainfuck	8	4	C	20	Tiny Brainfuck interpreter.
mschuetz/tinylisp	8	399	C	20	A C implementation of the Lisp interpreter described in McCarthy's Lisp 1.5 manual.
tommasocerruti/rowlang	8	126	C	20	RowLang is a minimalistic esoteric programming language written as an analogy to rowing.
accreator/VSCI	8	260	C	19	Very Simple C Interpreter
eki/dorothy	8	180	C	19	A Z-Machine interpreter library.
hideo55/node-perl	8	159	C	19	Embeded perl interpreter for node.js
hoelzro/sqlite-lua-extension	8	5	C	19	A SQLite extension that embeds a Lua interpreter into SQLite
ingramj/bs	8	174	C	19	An interpreter for a simple Scheme-like language
Jackojc/klaxon	8	195	C++	19	Minimalist RPN language that compiles to x86-64 assembly (with more backends to come).
magetron/c-interpreter	8	60	C	19	Patrick's C Compiler (interpreter)
MohammedRashad/Simplex	8	66	C	19	Programming Language for everyone, and no one.
wgtdkp/kawaii	8	10	C	19	A kawaii Scheme interpreter in C
koturn/Whitespace	8	34	C	18	An interpreter and C-translator of Whitespace
luvisi/continuinglogo	8	997	C	18	A Logo interpreter with dynamic scope, shallow binding, tail call optimization, Lisp 1.5 style FUNARG's, and first class
oguzalb/Fayton	8	582	C	18	A minimalistic python interpreter written in c, just to see where i can get to :)
saulpw/frotzos	8	463	C	18	a barebones bootable platform to run the frotz z-code interpreter inside a VM
dbetz/bob	8	312	C	17	The Bob Programming Language
amykyta3/tclpython	8	61	C	16	Tcl package that provides access to a Python interpreter
jarhot1992/mujs	8	108	C	16	MuJS is a lightweight Javascript interpreter designed for embedding in other software to extend them with scripting capa
PatrickHead/ucBasic	8	38	C	16	A Tiny BASIC inspired interpreter for microcontrollers.  Currently for the Arduino/AVR, with a development version for P
tvcutsem/schemeken	8	334	C	16	A Distributed Resilient Scheme Interpreter
BenWiederhake/ohno	8	23	C	15	Interpreter for an esoteric, overly hard language
dimkr/b6b	8	422	C	15	A lightweight, embeddable scripting language
joewing/jl	8	90	C	15	Small, embeddable LISP-like language.
kbob/schetoo	8	740	C	15	Another Scheme interpreter
motet-a/toy	8	26	C	15	Tiny JavaScriptish interpreter
schani/SimpLang	8	91	C	15	A very simple programming language for teaching interpreter and compiler building.
boynton/scheme	8	128	C	14	A simple yet fairly fast scheme byte code interpreter written in ANSI C.
nithinkr1shna/python-bytecode-interpreter	8	44	C	14	A bytecode interpreter for v 2.7.10
pwil3058/dunnart	8	345	D	14	LALR(1) Parser Generator for the D Programming Language
sungit/TinyScheme	8	340	C	14	mirror of tinyscheme interpreter and extensions
yangruihan/clox	8	65	C	14	Repository for C implement programming language with the book "Crafting Interpreters" http://www.craftinginterpreters.co
bnzis/bulb	8	213	C	13	My little programming language. 
iksteen/pyhp	8	18	C	13	Embed the PHP interpreter in Python
paulwratt/bas-2.5-plus	8	690	C	13	2018 version of BAS 2.4 ANSI BASIC interpreter by Michael Haardt - http://moira.de (cpmtools fame)
