repo	score	disk_kb	lang	stars	archived	description
eponymous/yocto-scheme	8	276	C	3		Small scheme interpreter based on MiniScheme
fxthomas/LuaInterpreter	8	488	C	3		Simple and lightweight bindings between Objective-C and LUA
hmarr/skeema	8	168	C	3		A Scheme-like language interpreter in C
id101010/bfckr	8	980	C	3		A little brainfuck interpreter and debugger written in C.
indiejames/TestLua	8	248	C	3		A simple iOS app to demonstrate embedding a Lua interpreter in a game.
itamarst/giljoy	8	116	C	3		Python Global Interpreter Lock (GIL) Profiler
jahan-addison/VVTBI--VVTB-interpreter	8	243	C	3		Interpreter for the VVTB language
jam1garner/another-simple-bytecode	8	10	C	3		A simple bytecode language I designed with an included assembler and virtual machine interpreter
JamesHinshelwood/RegisterMachineInterpreter	8	74	C	3		Register machine interpreter written in C
jcande/xenocryst	8	22	C	3		A brainfuck interpreter written for memcpy(). Read the paper (or source) for more details.
jcatw/iota	8	324	C	3		A lisp interpreter
jcupitt/asp	8	50	C	3		interpreter for a tiny functional programming language
johannesfrey/Ceme	8	131	C	3		A scheme interpreter written in C (Work in Progress)
JohnBSmith/moss-c	8	530	C	3		Moss interpreter
JohnnyonFlame/crisp-8	8	416	C	3		A portable, free SDL [S]CHIP-8 Interpreter/Emulator.
ksherlock/zip	8	75	C	3		ZIP - Infocom Z-code Interpreter Program V2.0 7 Nov 1993 by Mark Howell
leoht/micro-lisp	8	132	C	3		A really - really, minimal interpreter for basic LISP expressions, written in C, for the sake of learning and fun
lisale0/monty	8	65	C	3		Opcode interpreter
matheuscscp/hello-prolog	8	58	C	3		Prolog interpreter made with Flex/Bison for compilers class.
matt-kempster/subpython	8	96	C	3		An interpreter for a minimal version of Python
mauke/sparchways	8	120	C	3		a terminfo format string interpreter
microsounds/hpsh	8	24	C	3		A stack-based Reverse Polish Notation (RPN) interpreter. Recreate the feel of Hewlett-Packard calculators!
mikekhalil/PrologInterpreter	8	53	C	3		Prolog Interpreter written in C
MrMonk3y/Boopa-Dee-Bappa-Dee	8	13	C	3		A Boopa-Dee Bappa-Dee Interpreter similar to Urban Müllers brainfuck Interpreter
mseitzer/bispe	8	89	C	3		A Bytecode Interpreter for Secure Program Execution in Untrusted Main Memory
nikp123/selfmodifying-brainfuck-interpreter	8	3	C	3		Just another brainfuck interpreter written in C
olls/3var-interpreter	8	154	C	3		Interpreter for 3var
oznakn/pielang	8	804	C	3		Is it possible to write an interpreter?
pdemian/DEXEv3	8	124	C	3		A stack based bytecode interpreter in C
phil-de-choc/pcastli	8	606	C	3		PCASTL Interpreter
prakhar1989/lispy	8	51	C	3		Lisp Interpreter in C
Prashant47/picoc	8	932	C	3		Porting picoc interpreter to xv6
realsugar/rbf	8	105	C	3		Real BrainF**k Interpreter
robertostling/lisp1k	8	20	C	3		Interpreter for a minimal LISP-like language (in 1k lines of C)
sanyaade-embedded-systems/Leonie	8	327	C	3		Bytecode interpreter and primitive code generation backend for a HyperTalk-like programming language named Hammer.
scruss/rtb	8	244	C	3		Gordon Henderson's “Return to Basic” interpreter — GPL 3 version of 2013-01-27
seaslee/slisp	8	128	C	3		A scheme(covered in SICP) interpreter implementation with C language 
sebbekarlsson/cola	8	265	C	3		component language (component-based programming language)
superzazu/chip8	8	5	C	3		Chip8 interpreter in C/SDL2.
supragya/HLang	8	302	C	3		Core shell scripting language design and interpreter proposed for HelenOS's BDSH shell system. Includes prototype implem
tbonelaforge/lambda	8	105	C	3		An interpreter for a programming language based on the Lambda Calculus.
tkovs/cbrainfuck	8	320	C	3		:curly_loop: A brainfuck interpreter made in C.
vmasek/IFJ-14	8	620	C	3		Group project 'pascal like interpreter written in C' for IFJ 2014
voidnull/cmdconsole	8	152	C	3		Command line interpreter for c++ backed by linenoise
waywardmonkeys/vub-dylan	8	652	C	3		An old (1995) Dylan interpreter written in C++
yifengyou/write-a-C-interpreter	8	73	C	3		
zpconn/Simple	8	124	C	3		Interpreter for a simple scripting language called Simple, written in C.
16Bitt/libcc	8	21	C	2		A small library for building simple interpreters and compilers
furuame/Arithmetic-Interpreter	8	14	C	2		
ahsieh/basicinterpreter	8	372	C	2		BASIC interpreter in C
aknorjaden/LuaThread	8	372	C	2		LuaThread is a double layer wrapper for the Lua script language interpreter and also uses Tomaka17's luawrapper (link be
alexander-koch/golem	8	567	C	2		Compiler / Interpreter for the Golem programming language
AlexanderKuptsov/InterpreterTinyBasic	8	44	C	2		
amalpoulose/System-programming-custom-shell-ATerm-1.0	8	97	C	2		ATerm 1.0 beta  :  A basic command-line interpreter (shell).
Amatsukan/BFIT_BrainFuck-Interpreter-Terminal	8	47	C	2		
amstone326/Small-Interpreter	8	112	C	2		Interpreter for a simple, stack-based language - compiles .j files into .asm files that can be assembled and run in Penn
anandapurva55/C-Interpreter	8	24	C	2		An interpreter for a subset C of language
AnderainLovelace/dPicoC-NS	8	314	C	2		a Nspire(ndless-based) C language interpreter Port
ankscircle/Micro-shell--ush-	8	99	C	2		"ush" is a command interpreter written in C with a syntax similar to UNIX C shell. The main tasks were- Lexical structur
apg/bf	8	136	C	2		A brainfuck interpreter (and studio)
asxalex/TTtL	8	34	C	2		an interpreter of my own
BillBai/bisp	8	91	C	2		Bill + Lisp,  currently following the tut http://www.buildyourownlisp.com to write a lisp interpreter :)
bl0ckeduser/wannabe-lisp	8	174	C	2		babby's first lisp (scheme) interpreter
burberger/blisp	8	236	C	2		A simple lisp interpreter written in C
cav94mat/asus-tcci	8	176	C	2		TrendChip Command Interpreter for ASUS modem/routers. A way to access a lot of hidden options/information, in particular
cjhoward18/BytecodeInterpreter	8	9	C	2		This project is a stack-based bytecode interpreter (or virtual machine) for a simple instruction set. Instead of using r
cleichner/glsh	8	138	C	2		A unix command-line interpreter
cliffeh/punky	8	249	C	2		a simple functional language interpreter
danielkeller/cinterp	8	112	C	2		unfinished c interpreter
darconeous/bf-tools	8	120	C	2		A fast BF (an esoteric programming language) interpreter I wrote a long time ago.
darvid7/C-Command-Line-Interpreter	8	23	C	2		Command Line Interpreter built in C to emulate Unix commands.
dbetz/bob2	8	152	C	2		Revised version of Bob derived from the Nuon work at VM Labs
ddpyugi/inter_c	8	71	C	2		a tiny "pseudo C" interpreter
dengh/Interpreter	8	344	C	2		Simple functional programing language implemented with C, utilizing parallelisation.
JayNakrani/xvg-interpreter	8	477	C	2		Interpreter for xvg.
edthrn/python3-in-c	8	2	C	2		A dummy example of how to embed a Python 3 interpreter in your C program.
franckmarini/Cli	8	176	C	2		Command Line Interpreter library for Arduino
fredreichbier/skelde	8	428	C	2		it's a toy bytecode interpreter!
gmalysa/cs-lisp	8	229	C	2		A for-fun attempt at implementing a basic lisp interpreter.
guptaNswati/simple_shell	8	129	C	2		A simple UNIX command interpreter
haifenghuang/YAVM-Virtual-Machine	8	176	C	2		A *VERY* simple register based byte-code interpreter
hcheung01/monty	8	67	C	2		Interpreter for Monty ByteCodes files implemented using queues and stacks, created with C
hikari-no-yume/DevPerc.c	8	152	C	2		A (currently unfinished) interpreter for the Deviating Percolator (DevPerc) language, written in pure `-Wall -pedantic` 
iainmerrick/gift	8	892	C	2		Yet another Glulx interpreter
iceflying/BFInterpreter	8	181	C	2		a lightweight interpreter of brainfuck builded by C
inrick/CHIP-8	8	15	C	2		CHIP-8 interpreter
JacksonKearl/yasa	8	35	C	2		Yet Another Scripting Atrocity - Interpreter and Translators
jcolag/PosTuring	8	27	C	2		Interpreter for a programming language based on the Post-Turing Machine
jesus-ramos/not-a-good-bf-interpreter	8	116	C	2		A brainfuck interpreter in C
jloughry/s7	8	595	C	2		Bill Schottstaedt's s7 Scheme interpreter (with a few small changes of my own)
JonathanDC64/Chip-8-Interpreter	8	854	C	2		A simple Chip-8 emulator
JuEeHa/lambdacalc	8	120	C	2		Lambda calculus interpreter
karttu/St.-Vitus-Lisp	8	260	C	2		My very compact Lisp-interpreter for MS-DOS, the last build done February 21, 1992 !
KirkMartinez/cbm-scheme	8	31	C	2		Simple Scheme interpreter for Commodore (and other 6502) machines
koturn/Brainfuck	8	216	C	2		An interpreter and C-translator of Brainfuck
Krypton-Project/Rye	8	89	C	2		Rye interpreter
kulikjak/ELI	8	26	C	2		Esoteric Language Interpreter
dgswan/jslang	8	132	C	2		My js interpreter for university
RKirlew/Brainfart-Interpreter-In-C	8	4	C	2		Brainfart is a toy language made by me. It was inspired by Brainf*ck,however Brainfart is somewhat simplified.
m-rinaldi/MRI_Hack	8	100	C	2		For understanding the internals of the Matz's Ruby Interpreter
macmade/BrainDead	8	51	C	2		BrainDead is an interpreter for the BrainFuck programming language, written in C, that can be run in interactive or non-
markuman/mex-lua	8	6	C	2		...the faster interpreter in the interpreter
mbelicki/uScheme	8	124	C	2		Minimalistic Scheme interpreter in C (it's currently faaaar from being complete (also buggy as hell)).
mckenney5/qsh	8	656	C	2		qsh - A small, lightweight, command interpreter
mmniazi/lisp	8	67	C	2		lisp interpreter written in c
mooseman/crystal	8	388	C	2		A series of small public-domain parsers and interpreters. STATUS - Working. 
mrsempress/Simple-Interpreter	8	98	C	2		1. Lex and yacc; 2. ANTLR two ways to implement
mushrom/nscheme	8	130	C	2		High-performance scheme interpreter
kevin-zhu-ca/SimpleC-compiler	8	34	C	2		A simple C interpreter that interpretes itself.
nomox/Texed	8	197	C	2		Simple Interpreter
nymacro/tentcl	8	219	C	2		A hand-parsed Tcl [subset] interpreter.
oademuwagun/basic-interpreter	8	540	C	2		
odkq/simplebf	8	92	C	2		Simple brainfuck interpreter written in ANSI C
parsec-zz/bf93	8	112	C	2		the fastest befunge-93 interpreter there is
pqnelson/ml	8	106	C	2		A Study in Implementing Functional Programming Languages
prosopon/prosopon-interpreter	8	323	C	2		Interpreter for Prosopon
rameshvarun/dumblisp	8	71	C	2		A lisp interpreter written in pure C.
rebcabin/ancient_siodffi	8	329	C	2		how to load a Windows DLL into a Scheme interpreter!
reposefulGrass/monkey-interpreter	8	231	C	2		Monkey Language Interpreter in C
rgburke/CHIP-8	8	27	C	2		CHIP-8 interpreter
roynwang/RYLan	8	300	C	2		A simple interpreter
SabraTech/Unix-shell-interface	8	3	C	2		A Unix shell is a command-line interpreter
selavy/write-an-interpreter-in-c	8	4	C	2		porting "Writing An Interpreter In Go" to C https://interpreterbook.com/
Shylock-Hg/AT-interpreter	8	118	C	2		AT command library
SiebelsTim/ToyInterpreter	8	115	C	2		
tadzik/Plis	8	96	C	2		Stupid LISP-alike interpreter
tario/microruby	8	820	C	2		Minimalist ruby interpreter made from scratch
thea-leake/crisp	8	282	C	2		A Lisp interpreter/dialect written in C.
toddjasonblackmon/picol	8	100	C	2		Small tcl interpreter
TomTriple/strike-interpreter	8	124	C	2		This is currently an experimental language with all interpreter parts written from scratch
ttshivhula/brainfuck_interpreter	8	1	C	2		My simple brainfuck interpreter
turu/Compilation-Theory	8	372	C	2		Lexers, parsers, interpreters for Compilation Theory. Bison, Ply etc.
tyru/forth-interp	8	140	C	2		forth interpreter. I'm new to forth so maybe some behavior's wrong. DOES NOT WORK NOW.
wongsingfo/SimpleLisp	8	37	C	2		A dirty implement of scheme interpreter :)
3swu/Toy-Scheme	8	92	C	2		A tiny toy Scheme interpreter
wuuff/chip-8-gamebuino	8	66	C	2		A Chip8 interpreter for the Gamebuino
yoh-there/databaseGV	8	152	C	2		A very raw, fast, text based interpreter of CANbus data for the Renault Zoe
yu-alan14/cs61c-proj1	8	195	C	2		Simple RISC-V interpreter
yuhangwang/ninjal	8	143	C	2		Combine Lua or C modules and the Lua interpreter  into one static binary using Ninja cross-platform build system
yzavhoro/minishell	8	29	C	2		mini UNIX command interpreter
zeling/bf	8	603	C	2		Playground for the infamous esolang: Brainf*ck
zurl/MUA	8	126	C	2		An interpreter as the homework of Advance C Programming
7shi/Betelgeuse	8	380	C	1		Alpha disassembler and interpreter written in F#
AbstractBeliefs/bavrf	8	18	C	1		AVR Interpreter for the Brainfuck esolang
AGraci/Simple-Interpreter	8	208	C	1		A simple interpreter for a toy grammar (written in C).
ahorn/bf-interpreter	8	108	C	1		BF virtual machine written in C
ajalgaonkar/The_Nut_Shell	8	644	C	1		This project involves writing a command interpreter for a Korn-shell-like command language in C using Lex and Yacc runni
ajzaff/multifunge	8	71	C	1		An interpreter for a minimal Funge language
alanszlosek/tesi	8	188	C	1		A terminal with short escape sequences, and it's emulator (Tesi Escape Sequence Interpreter)
alexmalyshev/bfin	8	212	C	1		A simple implementation of a brainfuck interpreter in C89.
aneesh87/ushell	8	21	C	1		This is a command interpreter shell that parses and executes user commands. It supports pipelining, redirection and  bas
antagon/capdiss	8	374	C	1		Capture file dissector with embedded Lua interpreter.
apg/surd	8	154	C	1		an absurd lisp interpreter
armaank/BF-Compiler	8	4	C	1		A compiler/interpreter for the BrainF*ck programming language
arn-e/bf-interpreter	8	108	C	1		brainf*ck interpreter written in C
bacomatic/bfi	8	13	C	1		Brainf*ck Interpreter
barryp/py-exim-localscan	8	135	C	1		Embeds a Python interpreter into Exim 4.x. to allow Exim local_scan() functions to be written in Python
behailus/DoS-IL	8	71	C	1		Domain Specific IoT Language Interpreter
berengerfoucher/brainfuck_interpreter	8	1	C	1		Quick and simple brainfuck interpreter
bizzl-greekdog/Brainfuck	8	100	C	1		A simple brainfuck interpreter written in C.
sonyafrostit/MipsRabbit	8	18	C	1		MipsRabbit is a MIPS .asm interpreter. Rather than compiling MIPS code and running it from a VM or other program, why no
BrainSteel/BrainF-k	8	21	C	1		Fully functional BF and BF-equivalent interpreter
brat-pack/C-interpreter-	8	85	C	1		This is a simple language interpreter in C
BruceMacD/Phun-Lexical-Analyser	8	402	C	1		A "phun" parser and interpreter similar to Scheme.
brvboas/Linux-Command-Interpreter	8	112	C	1		An Example of Linux Command Interpreter in C
callMeName/Myshell	8	156	C	1		A simple shell interpreter.
castleberrysam/Mouse-Interpreter	8	9	C	1		A basic interpreter for a basic language.
Cesura/meraki	8	320	C	1		A kernel written from the ground up in C and assembly, with the intention of having all kernel- and user-land applicatio
cfcosta/brainfucking	8	104	C	1		A brainfuck interpreter/compiler. DON'T WORK YET.
cfrank/cfbf	8	40	C	1		A Brainfuck interpreter
cibersheep/level9-interpreter-snap	8	75	C	1		Code to «snapify» this interpreter made to work on gtk2
citisolo/feeny-ast-interpreter	8	990	C	1		Ast interpreter for the feeny language
clwhe/slur-lisp	8	4	C	1		A simple Lisp interpreter
crazymerlyn/clox	8	34	C	1		A lox interpreter in c
crunkmaster/lisp	8	148	C	1		a simple lisp interpreter being implemented in C.
duongvuhong/chip8	8	116	C	1		A CHIP8 interpreter
cvaraujo/interpreter-using-lex-yacc	8	19	C	1		A small interpreter using Lex and Yacc in C.
CWood1/interpreter	8	81	C	1		Interpreter
damiendart/brainfuck	8	30	C	1		Yet another nice brainfuck interpreter written in C. (Read-only mirror.)
danhan52/interpreter	8	29	C	1		A racket interpreter written in C
Daniel-Abrecht/unitscript	8	35	C	1		Interpreter for descriptive unit file like init scripts in yaml for sysv-rc
darkelle24/minishell1	8	14	C	1		Basic UNIX command interpreter based on tcsh. Command : env, setenv, cd, unsetenv and can execute binairies
davidweber/lci	8	252	C	1		Linux Command Interpreter
dbittman/elf-ld.so	8	148	C	1		I'm considering writing my own dynamic linker and program interpreter. Someone please stop me.
delieva/Interpreter	8	30	C	1		Interpreter based on ast tree
deveah/atto	8	76	C	1		A small subset-of-Scheme interpreter
drshiki/brainfuck	8	90	C	1		This is a simple interpreter for brainfuck language written in C programming language
dtomasiewicz/Adept	8	112	C	1		Dynamic Language Interpreter
eddieantonio/lersp	8	152	C	1		so U KNow that interNET meme "ermagurd"? So... okay. No? Well, okay. Here's a very simple Lisp interpreter thing!
edghto/iperl	8	156	C	1		Interactive perl interpreter
edma2/lispy	8	116	C	1		lisp interpreter
edma2/skm	8	212	C	1		scheme interpreter
EinBaum/FizzBuzz	8	7	C	1		The FizzBuzz Programming Language interpreter
emctoo/schemer	8	168	C	1		scheme interpreter
esromlabs/honeybee-arduino	8	43	C	1		a HoneyBee interpreter for Arduino
EXio4/brainfuck-c	8	112	C	1		just for the lulz brainfuck interpreter!
fch/brainfckInterpreter	8	20	C	1		Very basic interpreter
FreeJules/simple_shell	8	133	C	1		UNIX command line interpreter
fromasmtodisasm/xlang	8	218	C	1		This xlang interpreter for educational purposes and as a hobby.
g-berthiaume/urbanmi	8	14	C	1		A simple brainfuck language interpreter written in C11.
genrnd/fifth	8	131	C	1		Simple stack interpreter (forth-like)
geoffCamp/logo	8	192	C	1		Logo command interpreter coded in C
gerhardgruber/vala_interpreter	8	208	C	1		This repository contains an interpreter and a virtual machine for a Vala-like language
girard-r/Corewar	8	132	C	1		Asm binary interpreter for virtual machine - C project
gitanat/minimal-brainfuck	8	100	C	1		A minimalistic C implementation of a brainfuck interpreter
gre/boolean-functions	8	492	C	1		A boolean functions commandline interpreter written in C for a university project - feb 2011
grubino/brainf-ck-interpreter	8	152	C	1		
guisilvano/interpreter	8	15	C	1		Interpretador de gramática escrito em C
hentom/LOOP-Interpreter	8	13	C	1		Small and simple C-based LOOP interpreter.
hummanta/sol-to-o1js	8	12	Rust	1		Solidity Compiler & Transpiler for Mina
heraldofsolace/Brainfuck	8	26	C	1		A collection of brainfuck interpreters written in C, Ruby and Python
iambrj/cathy	8	25	C	1		An interpreter for a simple programming language
iitalics/Scheme-Interpreter-C	8	204	C	1		Self explanatory
iliasafrass/InterpreterExpressionRegulier	8	641	C	1		un interpreteur des expressions regulier (flex & bison & langage C)
indiejames/Lua-Test	8	244	C	1		A simple iOS app to demonstrate embedding a Lua interpreter in a game.
jakibaki/testpicoc	8	658	C	1		Just some playing around with picoc (c interpreter) on the Nintendo switch.
Jakub-Svoboda/IFJ16	8	403	C	1		Interpreter for IFJ16 language. Authors: Jakub Svoboda, Michael Schmid, Jan Grossmann, Matyáš Sládek, Kateřina Šmajzrová
jasanign/Parser	8	6	C	1		An interpreter written in C language for arithmetic expressions that use A Recursive Descent Parser
jaskorpe/CGI	8	124	C	1		CGI projects. Only a brainfuck interpreter for now.
jaw0/jlisp	8	224	C	1		lisp interpreter
jbheard/SimpleLang-interpreter	8	86	C	1		A simple command line SimpleLang(++) interpreter
jchmrt/etbi	8	85	C	1		endless tape brainfuck interpreter
jcolag/Klickenklacker	8	49	C	1		The reference interpreter for the Rube II automaton-like programming language.
jcolag/Wierd	8	35	C	1		Interpreter for the the Wierd Programming Language
jelaas/jelvm	8	112	C	1		a small virtual machine interpreter
jes/bnbf	8	200	C	1		Brainfuck interpreter with bignum cells and various runtime options.
jeteve/lispi	8	320	C	1		A legacy lisp interpreter written in C and french
Jim-Fan/lambda	8	47	C	1		Experimental interpreter for untyped lambda calculus
paulourio/Wooki	8	288	C	1		An interpreter for my own language
jks-liu/lisp-style-repl	8	140	C	1		Simple lisp style command line interpreter (repl) especially for embedded system.
jlopezr/JBasic	8	56	C	1		Simple Basic Interpreter in C
joefarebrother/scheme	8	328	C	1		A scheme interpreter and compiler
johnbartholomew/brainfunc	8	131	C	1		A really bad brainfuck interpreter
JonasDann/Brainfucker	8	39	C	1		Brainfuck interpreter in C
joukewitteveen/brainfuck2	8	108	C	1		A brainfuck interpreter
JSaenz4/Y86-Interpreter	8	168	C	1		Runs programs (yb files) in the Y86 instruction set architecture outputting detailed (fetch, decode, and execute) inform
jsardo/cli	8	16	C	1		a minimal command line interpreter 
jtruant/Note-Interpreter-Using-Bitwise-Operators-In-C	8	88	C	1		
jvanderkallen/brainfuck-interpreter	8	15	C	1		Interpreter for the Brainfuck language
k0gaMSX/klisp	8	152	C	1		Simple lisp interpreter
k16shikano/es	8	96	C	1		a pretty toy Scheme-like interpreter using YACC with minimum s-expression rules.
igor-filipenko/interpreter	8	62	C	1		Simple lisp-like interpreter written on C
kamimura/kscheme	8	867	C	1		Scheme interpreter
KatuH/kaniScript	8	10	C	1		Script language for Katuh Adventure Novel Interpreter
kbyanc/libpperl	8	153	C	1		Library for Embedding a Persistent Perl Interpreter
kdharsee/Calc_and_Format	8	152	C	1		cs211 - Formula: C implementation of a bit sequence interpreter ( either as a two's complement int or IEEE 74 single pre
keiya/rubbish	8	24	C	1		RubbiSH, a useless UNIX Shell command line interpreter (CLI).
Kelwing/bfi	8	164	C	1		A simple, fast, and for fun Brainfuck Interpreter
keyvin/basic	8	155	C	1		Simple integer basic interpreter
komiyamb/kom_lisp	8	96	C	1		ore ore lisp interpreter
kopos/bff	8	10	C	1		Brainfuck compiler / interpreter / repl / JIT
Korrigan/brainfuck	8	100	C	1		A simple Brainfuck interpreter
kruegerkylej/KINTtoGo	8	602	C	1		Translation of the KINT interpreter to the Go language
ksheedlo/bf	8	124	C	1		A brainfuck compiler and interpreter in C.
kuitang/Turing-Machinery	8	96	C	1		A bytecode interpreter for a bidirectional, infinite-length-tape Turing machine.
l0stman/loot	8	456	C	1		A toy Scheme interpreter in C
letoh/WSFN	8	104	C	1		an implementation of WSFN interpreter
LibreLabUCM/codigo-rojo	8	62	C	1		Free (as in freedom) MARS interpreter
liexusong/simple-interpreter	8	2	C	1		Simple Interpreter
liquidev/microbf	8	50	C	1		A small, optimizing Brainfuck interpreter
lucas-akira/chip8-emu	8	195	C	1		CHIP-8 interpreter in C
luizperes/BrainfuckInterpreter	8	17	C	1		Brainfuck interpreter 
luqmaan/ghettocli	8	432	C	1		A ghetto command line interpreter.
maksverver/brainfuck	8	116	C	1		Brainfuck interpreters, tools and programs
mathew-hall/bf-jit	8	120	C	1		A simple JITting Brainfuck interpreter.
matthiasb85/SimpleCLI	8	36	C	1		A simple command line interpreter for small embedded systems
maxrosan/elf-interpreter	8	176	C	1		
mattburdumy/LispInterpreter	8	132	C	1		C-Based Lisp Interpreter
megabytefisher/MAI	8	269	C	1		MAI - MIPS Assembly Interpreter
meganzhao10/Scheme-Interpreter	8	358	C	1		A Scheme interpreter implemented in C
microaeris/chip8	8	596	C	1		Chip8 interpreter in C using SDL 
mjk3979/cproftalk	8	228	C	1		A proftalk interpreter written in C that is designed for C and later porting to CUDA.
mk12/eva	8	263	C	1		The preferred Scheme interpreter of Eva Lu Ator.
MrDetonia/pzab	8	124	C	1		The PZAB interpreter in C
mrfright/clasp	8	280	C	1		A Lisp interpreter written in C
Mrktn/bfng93	8	100	C	1		A simple Befunge-93 interpreter
netguy204/lithp	8	108	C	1		simple lisp interpreter written in c
njlr/mujs-snapshot	8	509	C	1		MuJS is a lightweight Javascript interpreter designed for embedding in other software to extend them with scripting capa
nmeum/climp	8	73	C	1		Dirty interpreter for the limp programming language in C
npmiller/comp	8	228	C	1		A small interpreter written in C
oddcoder/simcalc	8	148	C	1		simple calculator and expression interpreter
or1426/Shlisp	8	123	C	1		A massively over ambitious attempt to write a lisp interpreter.
orchid-hybrid/riff-raff	8	128	C	1		first order lisp interpreter in C
padentomasello/MIPS-Instruction-Set-Emulator	8	196	C	1		Instruction Set Interpreter for subset of MIPS
pharus/brainfuck	8	5	C	1		Exploring brainfuck, starting by implementing an interpreter and then a compiler
pld-linux/eic	8	8	C	1		C language interpreter
pocket7878/MyForth	8	104	C	1		My little forth interpreter
Property404/dbfi	8	156	C	1		Dagan's Brainfuck Interpreter
phistep/bananaBF	8	96	C	1		Another brainfuck interpreter
purplefoot/zerp	8	308	C	1		Zerp is a z-machine interpreter written in C that uses Andrew Plotkin's GLK Library for I/O.
qcpw/BFInterpret	8	11	C	1		a simple interpreter for the BrainF**k language
rbaron/scam	8	15	C	1		A toy Lisp interpreter in C
rohieb/brainfuck	8	100	C	1		Brainfuck interpreter and compiler in C
RohitBhatta/Improved-Interpreter	8	13	C	1		Advanced Interpreter with Pointers and Structs
samcamwilliams/lisp-on-xen	8	140	C	1		A port of a basic LISP interpreter to run as an OS on a Xen hypervisor target.
Sameeranjoshi/mini-interpreter	8	14	C	1		
sbuggay/bfmt	8	108	C	1		BrainFuck interpreter
schiermike/brainfuck-tools	8	90	C	1		A simple Brainfuck interpreter and a C to Brainfuck compiler
SeavantUUz/chiya	8	200	C	1		chiya is an interpreter.
shiroyasha/lisp	8	308	C	1		Toy lisp interpreter written in C
shoemakerc/scheme-interpreter	8	48	C	1		Interpreter for Scheme; made in C
Shylock-Hg/ABI	8	84	C	1		Another brainfuck interpreter
sidprasad/NetworkInterpreter	8	924	C	1		Interpreter with shared environment across a network
sluchin/calc	8	426	C	1		client server calculator interpreter
snehi23/SER502_Compiler_and_Interpreter	8	232	C	1		Language Design Project using flex and bison for compiler and python for interpreter [Run time environment]
SophieZ302/C-Project-Interpreter	8	172	C	1		Racket Interpreter in C, using Stack, Queue, Binary Tree
spatters/c_scheme	8	6	C	1		Mini scheme interpreter written in c. Purely for my own eduction.
ssharshavardhan/Command-line-interpreter	8	8	C	1		Unix like command line interpreter implemented in c
stasoid/1L_AOI	8	4	C	1		Interpreter for 1L_AOI language https://esolangs.org/wiki/1L_AOI
StrangePan/I_C_Whitespace	8	164	C	1		An interpreter written in C for the esoteric programming language Whitespace
sudharsh/fungi	8	256	C	1		Buggy interpreter for befunge written in C
t00sh/interpret	8	152	C	1		Basic interpreter for a basic language. (totally invented :))
tangentforks/hope	8	296	C	1		hope interpreter from http://www.soi.city.ac.uk/~ross/Hope/
tcarmet/ft_minishell1	8	413	C	1		Unix command interpreter
tiger1013/C-based-Makefile-interpreter	8	12	C	1		
tmoldwin/CommandLineInterpreter	8	104	C	1		A command line interpreter I wrote in C
tomsik68/brainfuck.c	8	124	C	1		Brainfuck Interpreter written in ANSI C
trentgill/fn_ptr_graph	8	68	C	1		Forth-y CLI for DSP graphs. C (DSP) & Haskell (interpreter & graph compiler) backend. Wrapped in libsoundio
lispandfound/asm-education-interpreter	8	283	C	1		
tryan/sirf	8	248	C	1		SiRF binary protocol interpreter
vanhineam/WICI	8	312	C	1		A Wren Intermediate Code(WIC) Interpreter written in C
vinay-cpj/Linux-Commandline-interpreter-	8	5	C	1		
wgreenberg/lithp	8	39	C	1		A Scheme interpreter
dvly/kshell	8	43	C	1		A command-line interpreter for Linux kernel
wrog/Thread-IID	8	144	C	1		perl unique Interpreter IDs
xinghen91/Logo-Programming-Language-	8	71	C	1		1st year project, created a small interpreter in c. see assignment 02 outline.
hotTeaFun/Interpreter	8	52	C	1		This is a simple interrupter based on C.The grammars haven't been well-designed yet.  
yasuo-ozu/cantang	8	35	C	1		interpreter
yasuo-ozu/rhino-c	8	93	C	1		A C99 interpreter
ziggi/bfi	8	124	C	1		A lightweight Brainfuck interpreter written in C.
sanchez-lucas/42sh	8	807	C	1		Unix Command Interpreter - Part 3 - Last Part
1byte2bytes/BrainfuckKernel	8	5	C	0		A kernel that has one purpose - to run a Brainfuck interpreter. Because why not.
5cs/interpreter	8	10	C	0		little gradient descent recursive interpreter
Abdelrahman-Noureldin-Saleh/Interpreter	8	131	C	0		(C)
adelmeleka/Interpreter	8	23	C	0		
Ahmed-Masoud/interpreter	8	45	C	0		implemented in C all arithmetic operations and functions and conditions 
ahmedhammad97/Interpreter	8	44	C	0		A C program that reads a new expression every time, process it and calculate a value, then assign it to the variable nam
ahvar/interpreter	8	68	C	0		The interpreter parses and interprets code
aliaamohamedali/Interpreter	8	40	C	0		A (CLanguage) implementation of an interpreter that reads in, verifies and calculate mathematical equations and assign t
aluxian/UoS-CS2-LaBASIC	8	100	C	0		LaBASIC is a BASIC interpreter for the LaFortuna board
amers185/Lisp-Interpreter	8	20	C	0		A Scheme Interpreter (Dialect of LISP) implemented in C with its own garbage collector. 
asid21/thue_interpreter	8	2	C	0		
AWGillespie/bf-interpreter	8	5	C	0		
awh44/Interpreters	8	22	C	0		A repository for interpreters for some languages
aymanizz/clox-interpreter	8	118	C	0		An interpreter in c
babara2/Scheme-Interpreter	8	21	C	0		
billymeter/brainfuck	8	2	C	0		A brainfuck interpreter written in C
Boktraskare/traskare	8	60	C	0		Interpreter
